fare_id,origin_id,destination_id,route_id,estimated
F_1,P_1,P_2,PB,1
F_2,P_1,P_3,PB,1
F_3,P_1,P_4,PB,1
F_4,P_1,P_5,PB,1
F_5,P_1,P_7,PB,1
F_6,P_1,P_8,PB,1
F_7,P_1,P_9,PB,1
F_8,P_1,P_10,PB,1
F_9,P_1,P_11,PB,1
F_10,P_1,P_12,PB,1
F_11,P_1,P_13,PB,1
F_12,P_1,P_14,PB,1
F_13,P_1,P_15,PB,1
F_14,P_1,P_16,PB,1
F_15,P_1,P_17,PB,1
F_16,P_2,P_3,PB,1
F_17,P_2,P_4,PB,1
F_18,P_2,P_5,PB,1
F_19,P_2,P_7,PB,1
F_20,P_2,P_8,PB,1
F_21,P_2,P_9,PB,1
F_22,P_2,P_10,PB,1
F_23,P_2,P_11,PB,1
F_24,P_2,P_12,PB,1
F_25,P_2,P_13,PB,1
F_26,P_2,P_14,PB,1
F_27,P_2,P_15,PB,1
F_28,P_2,P_16,PB,1
F_29,P_2,P_17,PB,1
F_30,P_3,P_4,PB,1
F_31,P_3,P_5,PB,1
F_32,P_3,P_7,PB,1
F_33,P_3,P_8,PB,1
F_34,P_3,P_9,PB,1
F_35,P_3,P_10,PB,1
F_36,P_3,P_11,PB,1
F_37,P_3,P_12,PB,1
F_38,P_3,P_13,PB,1
F_39,P_3,P_14,PB,1
F_40,P_3,P_15,PB,1
F_41,P_3,P_16,PB,1
F_42,P_3,P_17,PB,1
F_43,P_4,P_5,PB,1
F_44,P_4,P_7,PB,1
F_45,P_4,P_8,PB,1
F_46,P_4,P_9,PB,1
F_47,P_4,P_10,PB,1
F_48,P_4,P_11,PB,1
F_49,P_4,P_12,PB,1
F_50,P_4,P_13,PB,1
F_51,P_4,P_14,PB,1
F_52,P_4,P_15,PB,1
F_53,P_4,P_16,PB,1
F_54,P_4,P_17,PB,1
F_55,P_5,P_7,PB,1
F_56,P_5,P_8,PB,1
F_57,P_5,P_9,PB,1
F_58,P_5,P_10,PB,1
F_59,P_5,P_11,PB,1
F_60,P_5,P_12,PB,1
F_61,P_5,P_13,PB,1
F_62,P_5,P_14,PB,1
F_63,P_5,P_15,PB,1
F_64,P_5,P_16,PB,1
F_65,P_5,P_17,PB,1
F_66,P_7,P_8,PB,1
F_67,P_7,P_9,PB,1
F_68,P_7,P_10,PB,1
F_69,P_7,P_11,PB,1
F_70,P_7,P_12,PB,1
F_71,P_7,P_13,PB,1
F_72,P_7,P_14,PB,1
F_73,P_7,P_15,PB,1
F_74,P_7,P_16,PB,1
F_75,P_7,P_17,PB,1
F_76,P_8,P_9,PB,1
F_77,P_8,P_10,PB,1
F_78,P_8,P_11,PB,1
F_79,P_8,P_12,PB,1
F_80,P_8,P_13,PB,1
F_81,P_8,P_14,PB,1
F_82,P_8,P_15,PB,1
F_83,P_8,P_16,PB,1
F_84,P_8,P_17,PB,1
F_85,P_9,P_10,PB,1
F_86,P_9,P_11,PB,1
F_87,P_9,P_12,PB,1
F_88,P_9,P_13,PB,1
F_89,P_9,P_14,PB,1
F_90,P_9,P_15,PB,1
F_91,P_9,P_16,PB,1
F_92,P_9,P_17,PB,1
F_93,P_10,P_11,PB,1
F_94,P_10,P_12,PB,1
F_95,P_10,P_13,PB,1
F_96,P_10,P_14,PB,1
F_97,P_10,P_15,PB,1
F_98,P_10,P_16,PB,1
F_99,P_10,P_17,PB,1
F_100,P_11,P_12,PB,1
F_101,P_11,P_13,PB,1
F_102,P_11,P_14,PB,1
F_103,P_11,P_15,PB,1
F_104,P_11,P_16,PB,1
F_105,P_11,P_17,PB,1
F_106,P_12,P_13,PB,1
F_107,P_12,P_14,PB,1
F_108,P_12,P_15,PB,1
F_109,P_12,P_16,PB,1
F_110,P_12,P_17,PB,1
F_111,P_13,P_14,PB,1
F_112,P_13,P_15,PB,1
F_113,P_13,P_16,PB,1
F_114,P_13,P_17,PB,1
F_115,P_14,P_15,PB,1
F_116,P_14,P_16,PB,1
F_117,P_14,P_17,PB,1
F_118,P_15,P_16,PB,1
F_119,P_15,P_17,PB,1
F_120,P_16,P_17,PB,1
F_121,G_1,G_2,GN,1
F_122,G_1,G_3,GN,1
F_123,G_1,G_4,GN,1
F_124,G_1,G_5,GN,1
F_125,G_1,G_7,GN,1
F_126,G_1,G_8,GN,1
F_127,G_1,G_9,GN,1
F_128,G_1,G_10,GN,1
F_129,G_1,G_11,GN,1
F_130,G_1,G_12,GN,1
F_131,G_1,G_13,GN,1
F_132,G_1,G_14,GN,1
F_133,G_1,G_15,GN,1
F_134,G_1,G_16,GN,1
F_135,G_1,G_17,GN,1
F_136,G_1,G_18,GN,1
F_137,G_1,G_19,GN,1
F_138,G_1,G_20,GN,1
F_139,G_1,G_21,GN,1
F_140,G_1,G_22,GN,1
F_141,G_1,G_23,GN,1
F_142,G_1,G_24,GN,1
F_143,G_2,G_3,GN,1
F_144,G_2,G_4,GN,1
F_145,G_2,G_5,GN,1
F_146,G_2,G_7,GN,1
F_147,G_2,G_8,GN,1
F_148,G_2,G_9,GN,1
F_149,G_2,G_10,GN,1
F_150,G_2,G_11,GN,1
F_151,G_2,G_12,GN,1
F_152,G_2,G_13,GN,1
F_153,G_2,G_14,GN,1
F_154,G_2,G_15,GN,1
F_155,G_2,G_16,GN,1
F_156,G_2,G_17,GN,1
F_157,G_2,G_18,GN,1
F_158,G_2,G_19,GN,1
F_159,G_2,G_20,GN,1
F_160,G_2,G_21,GN,1
F_161,G_2,G_22,GN,1
F_162,G_2,G_23,GN,1
F_163,G_2,G_24,GN,1
F_164,G_3,G_4,GN,1
F_165,G_3,G_5,GN,1
F_166,G_3,G_7,GN,1
F_167,G_3,G_8,GN,1
F_168,G_3,G_9,GN,1
F_169,G_3,G_10,GN,1
F_170,G_3,G_11,GN,1
F_171,G_3,G_12,GN,1
F_172,G_3,G_13,GN,1
F_173,G_3,G_14,GN,1
F_174,G_3,G_15,GN,1
F_175,G_3,G_16,GN,1
F_176,G_3,G_17,GN,1
F_177,G_3,G_18,GN,1
F_178,G_3,G_19,GN,1
F_179,G_3,G_20,GN,1
F_180,G_3,G_21,GN,1
F_181,G_3,G_22,GN,1
F_182,G_3,G_23,GN,1
F_183,G_3,G_24,GN,1
F_184,G_4,G_5,GN,1
F_185,G_4,G_7,GN,1
F_186,G_4,G_8,GN,1
F_187,G_4,G_9,GN,1
F_188,G_4,G_10,GN,1
F_189,G_4,G_11,GN,1
F_190,G_4,G_12,GN,1
F_191,G_4,G_13,GN,1
F_192,G_4,G_14,GN,1
F_193,G_4,G_15,GN,1
F_194,G_4,G_16,GN,1
F_195,G_4,G_17,GN,1
F_196,G_4,G_18,GN,1
F_197,G_4,G_19,GN,1
F_198,G_4,G_20,GN,1
F_199,G_4,G_21,GN,1
F_200,G_4,G_22,GN,1
F_201,G_4,G_23,GN,1
F_202,G_4,G_24,GN,1
F_203,G_5,G_7,GN,1
F_204,G_5,G_8,GN,1
F_205,G_5,G_9,GN,1
F_206,G_5,G_10,GN,1
F_207,G_5,G_11,GN,1
F_208,G_5,G_12,GN,1
F_209,G_5,G_13,GN,1
F_210,G_5,G_14,GN,1
F_211,G_5,G_15,GN,1
F_212,G_5,G_16,GN,1
F_213,G_5,G_17,GN,1
F_214,G_5,G_18,GN,1
F_215,G_5,G_19,GN,1
F_216,G_5,G_20,GN,1
F_217,G_5,G_21,GN,1
F_218,G_5,G_22,GN,1
F_219,G_5,G_23,GN,1
F_220,G_5,G_24,GN,1
F_221,G_7,G_8,GN,1
F_222,G_7,G_9,GN,1
F_223,G_7,G_10,GN,1
F_224,G_7,G_11,GN,1
F_225,G_7,G_12,GN,1
F_226,G_7,G_13,GN,1
F_227,G_7,G_14,GN,1
F_228,G_7,G_15,GN,1
F_229,G_7,G_16,GN,1
F_230,G_7,G_17,GN,1
F_231,G_7,G_18,GN,1
F_232,G_7,G_19,GN,1
F_233,G_7,G_20,GN,1
