trip_id,arrival_time,stop_id,stop_sequence,departure_time
GN_1,2023-01-09 05:00:00,G_1,0,2023-01-09 05:00:00
GN_1,2023-01-09 05:04:00,G_2,1,2023-01-09 05:04:00
GN_1,2023-01-09 05:08:00,G_3,2,2023-01-09 05:08:00
GN_1,2023-01-09 05:10:00,G_4,3,2023-01-09 05:10:00
GN_1,2023-01-09 05:14:00,G_5,4,2023-01-09 05:14:00
GN_1,2023-01-09 05:17:00,G_6,5,2023-01-09 05:17:00
GN_1,2023-01-09 05:21:00,G_7,6,2023-01-09 05:21:00
GN_1,2023-01-09 05:25:00,G_8,7,2023-01-09 05:25:00
GN_1,2023-01-09 05:28:00,G_9,8,2023-01-09 05:28:00
GN_1,2023-01-09 05:31:00,G_10,9,2023-01-09 05:31:00
GN_1,2023-01-09 05:34:00,G_11,10,2023-01-09 05:34:00
GN_1,2023-01-09 05:36:00,G_12,11,2023-01-09 05:36:00
GN_1,2023-01-09 05:40:00,G_13,12,2023-01-09 05:40:00
GN_1,2023-01-09 05:46:00,G_14,13,2023-01-09 05:46:00
GN_1,2023-01-09 05:49:00,G_15,14,2023-01-09 05:49:00
GN_1,2023-01-09 05:54:00,G_16,15,2023-01-09 05:54:00
GN_1,2023-01-09 05:56:00,G_17,16,2023-01-09 05:56:00
GN_1,2023-01-09 05:59:00,G_18,17,2023-01-09 05:59:00
GN_1,2023-01-09 06:02:00,G_19,18,2023-01-09 06:02:00
GN_1,2023-01-09 06:06:00,G_20,19,2023-01-09 06:06:00
GN_1,2023-01-09 06:09:00,G_21,20,2023-01-09 06:09:00
GN_1,2023-01-09 06:12:00,G_22,21,2023-01-09 06:12:00
GN_1,2023-01-09 06:15:00,G_23,22,2023-01-09 06:15:00
GN_1,2023-01-09 06:20:00,G_24,23,2023-01-09 06:20:00
GN_1,2023-01-09 06:24:00,G_25,24,2023-01-09 06:24:00
GN_1,2023-01-09 06:28:00,G_26,25,2023-01-09 06:28:00
GN_1,2023-01-09 06:32:00,G_27,26,2023-01-09 06:32:00
GN_1,2023-01-09 06:36:00,G_28,27,2023-01-09 06:36:00
GN_1,2023-01-09 06:41:00,G_29,28,2023-01-09 06:41:00
GN_2,2023-01-09 05:15:00,G_1,0,2023-01-09 05:15:00
GN_2,2023-01-09 05:19:00,G_2,1,2023-01-09 05:19:00
GN_2,2023-01-09 05:23:00,G_3,2,2023-01-09 05:23:00
GN_2,2023-01-09 05:25:00,G_4,3,2023-01-09 05:25:00
GN_2,2023-01-09 05:29:00,G_5,4,2023-01-09 05:29:00
GN_2,2023-01-09 05:32:00,G_6,5,2023-01-09 05:32:00
GN_2,2023-01-09 05:36:00,G_7,6,2023-01-09 05:36:00
GN_2,2023-01-09 05:40:00,G_8,7,2023-01-09 05:40:00
GN_2,2023-01-09 05:43:00,G_9,8,2023-01-09 05:43:00
GN_2,2023-01-09 05:46:00,G_10,9,2023-01-09 05:46:00
GN_2,2023-01-09 05:49:00,G_11,10,2023-01-09 05:49:00
GN_2,2023-01-09 05:51:00,G_12,11,2023-01-09 05:51:00
GN_2,2023-01-09 05:55:00,G_13,12,2023-01-09 05:55:00
GN_2,2023-01-09 06:01:00,G_14,13,2023-01-09 06:01:00
GN_2,2023-01-09 06:04:00,G_15,14,2023-01-09 06:04:00
GN_2,2023-01-09 06:09:00,G_16,15,2023-01-09 06:09:00
GN_2,2023-01-09 06:11:00,G_17,16,2023-01-09 06:11:00
GN_2,2023-01-09 06:14:00,G_18,17,2023-01-09 06:14:00
GN_2,2023-01-09 06:17:00,G_19,18,2023-01-09 06:17:00
GN_2,2023-01-09 06:21:00,G_20,19,2023-01-09 06:21:00
GN_2,2023-01-09 06:24:00,G_21,20,2023-01-09 06:24:00
GN_2,2023-01-09 06:27:00,G_22,21,2023-01-09 06:27:00
GN_2,2023-01-09 06:30:00,G_23,22,2023-01-09 06:30:00
GN_2,2023-01-09 06:35:00,G_24,23,2023-01-09 06:35:00
GN_2,2023-01-09 06:39:00,G_25,24,2023-01-09 06:39:00
GN_2,2023-01-09 06:43:00,G_26,25,2023-01-09 06:43:00
GN_2,2023-01-09 06:47:00,G_27,26,2023-01-09 06:47:00
GN_2,2023-01-09 06:51:00,G_28,27,2023-01-09 06:51:00
GN_2,2023-01-09 06:56:00,G_29,28,2023-01-09 06:56:00
GN_3,2023-01-09 05:30:00,G_1,0,2023-01-09 05:30:00
GN_3,2023-01-09 05:34:00,G_2,1,2023-01-09 05:34:00
GN_3,2023-01-09 05:38:00,G_3,2,2023-01-09 05:38:00
GN_3,2023-01-09 05:40:00,G_4,3,2023-01-09 05:40:00
GN_3,2023-01-09 05:44:00,G_5,4,2023-01-09 05:44:00
GN_3,2023-01-09 05:47:00,G_6,5,2023-01-09 05:47:00
GN_3,2023-01-09 05:51:00,G_7,6,2023-01-09 05:51:00
GN_3,2023-01-09 05:55:00,G_8,7,2023-01-09 05:55:00
GN_3,2023-01-09 05:58:00,G_9,8,2023-01-09 05:58:00
GN_3,2023-01-09 06:01:00,G_10,9,2023-01-09 06:01:00
GN_3,2023-01-09 06:04:00,G_11,10,2023-01-09 06:04:00
GN_3,2023-01-09 06:06:00,G_12,11,2023-01-09 06:06:00
GN_3,2023-01-09 06:10:00,G_13,12,2023-01-09 06:10:00
GN_3,2023-01-09 06:16:00,G_14,13,2023-01-09 06:16:00
GN_3,2023-01-09 06:19:00,G_15,14,2023-01-09 06:19:00
GN_3,2023-01-09 06:24:00,G_16,15,2023-01-09 06:24:00
GN_3,2023-01-09 06:26:00,G_17,16,2023-01-09 06:26:00
GN_3,2023-01-09 06:29:00,G_18,17,2023-01-09 06:29:00
GN_3,2023-01-09 06:32:00,G_19,18,2023-01-09 06:32:00
