trip_id,route_id
GN_1,GN
GN_2,GN
GN_3,GN
GN_4,GN
GN_5,GN
GN_6,GN
GN_7,GN
GN_8,GN
GN_9,GN
GN_10,GN
GN_11,GN
GN_12,GN
GN_13,GN
GN_14,GN
GN_15,GN
GN_16,GN
GN_17,GN
GN_18,GN
GN_19,GN
GN_20,GN
GN_21,GN
GN_22,GN
GN_23,GN
GN_24,GN
GN_25,GN
GN_26,GN
GN_27,GN
GN_28,GN
GN_29,GN
GN_30,GN
GN_31,GN
GN_32,GN
GN_33,GN
GN_34,GN
GN_35,GN
GN_36,GN
GN_37,GN
GN_38,GN
GN_39,GN
GN_40,GN
GN_41,GN
GN_42,GN
GN_43,GN
GN_44,GN
GN_45,GN
GN_46,GN
GN_47,GN
GN_48,GN
GN_49,GN
GN_50,GN
GN_51,GN
GN_52,GN
GN_53,GN
GN_54,GN
GN_55,GN
GN_56,GN
GN_57,GN
GN_58,GN
GN_59,GN
GN_60,GN
GN_61,GN
GN_62,GN
GN_63,GN
GN_64,GN
GN_65,GN
GN_66,GN
GN_67,GN
GN_68,GN
GN_69,GN
GN_70,GN
GN_71,GN
GN_72,GN
GN_73,GN
GN_74,GN
GN_75,GN
GN_76,GN
GN_77,GN
GN_78,GN
GN_79,GN
GN_80,GN
GN_81,GN
GN_82,GN
GN_83,GN
GN_84,GN
GN_85,GN
GN_86,GN
GN_87,GN
GN_88,GN
GN_89,GN
GN_90,GN
GN_91,GN
GN_92,GN
GN_93,GN
GN_94,GN
GN_95,GN
GN_96,GN
GN_97,GN
GN_98,GN
GN_99,GN
GN_100,GN
GN_101,GN
GN_102,GN
GN_103,GN
GN_104,GN
GN_105,GN
GN_106,GN
GN_107,GN
GN_108,GN
GN_109,GN
GN_110,GN
GN_111,GN
GN_112,GN
GN_113,GN
GN_114,GN
GN_115,GN
GN_116,GN
GN_117,GN
GN_118,GN
GN_119,GN
GN_120,GN
GN_121,GN
GN_122,GN
GN_123,GN
GN_124,GN
GN_125,GN
GS_1,GS
GS_2,GS
GS_3,GS
GS_4,GS
GS_5,GS
GS_6,GS
GS_7,GS
GS_8,GS
GS_9,GS
GS_10,GS
GS_11,GS
GS_12,GS
GS_13,GS
GS_14,GS
GS_15,GS
GS_16,GS
GS_17,GS
GS_18,GS
GS_19,GS
GS_20,GS
GS_21,GS
GS_22,GS
GS_23,GS
GS_24,GS
GS_25,GS
GS_26,GS
GS_27,GS
GS_28,GS
GS_29,GS
GS_30,GS
GS_31,GS
GS_32,GS
GS_33,GS
GS_34,GS
GS_35,GS
GS_36,GS
GS_37,GS
GS_38,GS
GS_39,GS
GS_40,GS
GS_41,GS
GS_42,GS
GS_43,GS
GS_44,GS
GS_45,GS
GS_46,GS
GS_47,GS
GS_48,GS
GS_49,GS
GS_50,GS
GS_51,GS
GS_52,GS
GS_53,GS
GS_54,GS
GS_55,GS
GS_56,GS
GS_57,GS
GS_58,GS
GS_59,GS
GS_60,GS
GS_61,GS
GS_62,GS
GS_63,GS
GS_64,GS
GS_65,GS
GS_66,GS
GS_67,GS
GS_68,GS
GS_69,GS
GS_70,GS
GS_71,GS
GS_72,GS
GS_73,GS
GS_74,GS
GS_75,GS
GS_76,GS
GS_77,GS
GS_78,GS
GS_79,GS
GS_80,GS
GS_81,GS
GS_82,GS
GS_83,GS
GS_84,GS
GS_85,GS
GS_86,GS
GS_87,GS
GS_88,GS
GS_89,GS
GS_90,GS
GS_91,GS
GS_92,GS
GS_93,GS
GS_94,GS
GS_95,GS
GS_96,GS
GS_97,GS
GS_98,GS
GS_99,GS
GS_100,GS
GS_101,GS
GS_102,GS
GS_103,GS
GS_104,GS
GS_105,GS
GS_106,GS
GS_107,GS
GS_108,GS
GS_109,GS
PB_1,PB
PB_2,PB
PB_3,PB
PB_4,PB
PB_5,PB
PB_6,PB
PB_7,PB
PB_8,PB
PB_9,PB
PB_10,PB
PB_11,PB
PB_12,PB
PB_13,PB
PB_14,PB
PB_15,PB
PB_16,PB
PB_17,PB
PB_18,PB
PB_19,PB
PB_20,PB
PB_21,PB
PB_22,PB
PB_23,PB
PB_24,PB
PB_25,PB
PB_26,PB
PB_27,PB
PB_28,PB
PB_29,PB
PB_30,PB
PB_31,PB
PB_32,PB
PB_33,PB
PB_34,PB
PB_35,PB
PB_36,PB
PB_37,PB
PB_38,PB
PB_39,PB
PB_40,PB
PB_41,PB
PB_42,PB
PB_43,PB
PB_44,PB
PB_45,PB
PB_46,PB
PB_47,PB
PB_48,PB
PB_49,PB
PB_50,PB
PB_51,PB
PB_52,PB
PB_53,PB
PB_54,PB
PB_55,PB
PB_56,PB
PB_57,PB
PB_58,PB
PB_59,PB
PB_60,PB
PB_61,PB
PB_62,PB
PB_63,PB
PB_64,PB
PB_65,PB
PB_66,PB
PB_67,PB
PB_68,PB
PB_69,PB
PB_70,PB
PB_71,PB
PB_72,PB
PB_73,PB
PB_74,PB
PB_75,PB
PB_76,PB
PB_77,PB
PB_78,PB
PB_79,PB
PB_80,PB
PB_81,PB
PB_82,PB
PB_83,PB
PB_84,PB
PB_85,PB
PB_86,PB
PB_87,PB
PB_88,PB
PB_89,PB
PB_90,PB
PB_91,PB
PB_92,PB
PB_93,PB
PB_94,PB
PB_95,PB
PB_96,PB
PB_97,PB
PB_98,PB
PB_99,PB
PB_100,PB
PB_101,PB
PB_102,PB
PB_103,PB
PB_104,PB
PB_105,PB
PB_106,PB
PB_107,PB
PB_108,PB
PB_109,PB
PB_110,PB
PB_111,PB
PB_112,PB
PB_113,PB
PB_114,PB
PB_115,PB
PB_116,PB
PB_117,PB
PB_118,PB
PB_119,PB
PB_120,PB
PB_121,PB
PB_122,PB
PB_123,PB
PB_124,PB
PB_125,PB
PB_126,PB
PB_127,PB
PB_128,PB
PB_129,PB
PB_130,PB
PB_131,PB
PB_132,PB
PB_133,PB
PB_134,PB
PB_135,PB
PB_136,PB
PB_137,PB
PB_138,PB
PB_139,PB
PB_140,PB
PB_141,PB
PB_142,PB
PB_143,PB
PB_144,PB
PB_145,PB
PB_146,PB
PB_147,PB
PB_148,PB
PB_149,PB
PB_150,PB
PB_151,PB
PB_152,PB
PK_1,PK
PK_2,PK
PK_3,PK
PK_4,PK
PK_5,PK
PK_6,PK
PK_7,PK
PK_8,PK
PK_9,PK
PK_10,PK
PK_11,PK
PK_12,PK
PK_13,PK
PK_14,PK
PK_15,PK
PK_16,PK
PK_17,PK
PK_18,PK
PK_19,PK
PK_20,PK
PK_21,PK
PK_22,PK
PK_23,PK
PK_24,PK
PK_25,PK
PK_26,PK
PK_27,PK
PK_28,PK
PK_29,PK
PK_30,PK
PK_31,PK
PK_32,PK
PK_33,PK
PK_34,PK
PK_35,PK
PK_36,PK
PK_37,PK
PK_38,PK
PK_39,PK
PK_40,PK
PK_41,PK
PK_42,PK
PK_43,PK
PK_44,PK
PK_45,PK
PK_46,PK
PK_47,PK
PK_48,PK
PK_49,PK
PK_50,PK
PK_51,PK
PK_52,PK
PK_53,PK
PK_54,PK
PK_55,PK
PK_56,PK
PK_57,PK
PK_58,PK
PK_59,PK
PK_60,PK
PK_61,PK
PK_62,PK
PK_63,PK
PK_64,PK
PK_65,PK
PK_66,PK
PK_67,PK
PK_68,PK
PK_69,PK
PK_70,PK
PK_71,PK
PK_72,PK
PK_73,PK
PK_74,PK
PK_75,PK
PK_76,PK
PK_77,PK
PK_78,PK
PK_79,PK
PK_80,PK
PK_81,PK
PK_82,PK
PK_83,PK
PK_84,PK
PK_85,PK
PK_86,PK
PK_87,PK
PK_88,PK
PK_89,PK
PK_90,PK
PK_91,PK
PK_92,PK
PK_93,PK
PK_94,PK
PK_95,PK
PK_96,PK
PK_97,PK
PK_98,PK
PK_99,PK
PK_100,PK
