source_ward,destination_ward,source_metro_station,destination_metro_station,ivtt(minutes),ovtt(minutes),waiting_time(minutes),transfer_time(minutes),metro_fare(rupees),access_time(minutes),egress_time(minutes),num_transfer
1,2,G_6,G_5,39.18,266.2703572,0,0,100,135.8281504,130.4422068,0
1,3,G_6,G_3,42.115,238.011212,0,0,100,135.8281504,102.1830616,0
1,4,G_6,G_5,39.18,242.3103762,0,0,100,135.8281504,106.4822259,0
1,5,G_6,G_7,42.07333333,278.6285936,0,0,100,135.8281504,142.8004432,0
1,6,G_6,P_1,98.69833333,234.0170114,0,2,130,135.8281504,96.18886101,1
1,7,G_6,G_7,42.07333333,219.5641931,0,0,100,135.8281504,83.73604271,0
1,8,G_6,G_7,42.07333333,193.7672804,0,0,100,135.8281504,57.93913007,0
1,9,G_6,G_5,39.18,205.6058923,0,0,100,135.8281504,69.77774195,0
1,10,G_6,G_5,39.18,184.2462456,0,0,100,135.8281504,48.41809526,0
1,11,G_6,G_3,42.115,193.757926,0,0,100,135.8281504,57.92977561,0
1,12,G_6,G_2,43.64,168.4792945,0,0,100,135.8281504,32.65114416,0
1,13,G_6,G_2,43.64,148.6526025,0,0,100,135.8281504,12.82445209,0
1,14,G_6,G_1,45.16333333,148.0226592,0,0,100,135.8281504,12.19450885,0
1,15,G_6,G_2,43.64,139.8185121,0,0,100,135.8281504,3.990361693,0
1,16,G_6,G_5,39.18,156.235858,0,0,100,135.8281504,20.4077076,0
1,17,G_6,G_7,42.07333333,154.5866058,0,0,100,135.8281504,18.75845547,0
1,18,G_6,G_7,42.07333333,170.5662733,0,0,100,135.8281504,34.73812288,0
1,19,G_6,G_7,42.07333333,178.7777933,0,0,100,135.8281504,42.94964295,0
1,20,G_6,G_8,44.78666667,186.285513,0,0,100,135.8281504,50.45736261,0
1,21,G_6,G_7,42.07333333,196.7619868,0,0,100,135.8281504,60.93383647,0
1,22,G_6,G_8,44.78666667,208.4718729,0,0,100,135.8281504,72.64372256,0
1,23,G_6,P_1,98.69833333,209.4724645,0,2,130,135.8281504,71.64431414,1
1,24,G_6,P_1,98.69833333,201.0828474,0,2,130,135.8281504,63.25469705,1
1,25,G_6,P_1,98.69833333,197.1162499,0,2,130,135.8281504,59.28809952,1
1,26,G_6,P_1,98.69833333,196.4930209,0,2,130,135.8281504,58.6648705,1
1,27,G_6,P_1,98.69833333,170.5528731,0,2,130,135.8281504,32.72472271,1
1,28,G_6,P_1,98.69833333,170.1714449,0,2,130,135.8281504,32.34329456,1
1,29,G_6,P_1,98.69833333,183.7406516,0,2,130,135.8281504,45.91250127,1
1,30,G_6,P_2,97.43,191.268214,0,2,128,135.8281504,53.44006362,1
1,31,G_6,P_7,88.63,191.9981078,0,2,115,135.8281504,54.16995739,1
1,32,G_6,P_7,88.63,201.9660267,0,2,115,135.8281504,64.13787635,1
1,33,G_6,G_8,44.78666667,197.2608042,0,0,100,135.8281504,61.43265381,0
1,34,G_6,G_8,44.78666667,183.2759762,0,0,100,135.8281504,47.44782579,0
1,35,G_6,G_8,44.78666667,162.1514,0,0,100,135.8281504,26.32324966,0
1,36,G_6,G_7,42.07333333,155.3836838,0,0,100,135.8281504,19.55553347,0
1,37,G_6,G_7,42.07333333,143.0085943,0,0,100,135.8281504,7.180443878,0
1,38,G_6,G_5,39.18,141.3178089,0,0,100,135.8281504,5.489658527,0
1,39,G_6,G_2,43.64,145.5276508,0,0,100,135.8281504,9.699500462,0
1,40,G_6,G_1,45.16333333,179.6557523,0,0,100,135.8281504,43.82760189,0
1,41,G_6,G_4,41.25,166.2832063,0,0,100,135.8281504,30.45505589,0
1,43,G_6,G_9,45.96166667,157.2442341,0,0,100,135.8281504,21.41608371,0
1,44,G_6,G_7,42.07333333,145.391109,0,0,100,135.8281504,9.562958643,0
1,45,G_6,G_8,44.78666667,145.7845161,0,0,100,135.8281504,9.956365766,0
1,46,G_6,G_13,51.345,186.4707934,0,0,100,135.8281504,50.64264298,0
1,47,G_6,P_7,88.63,185.9746184,0,2,115,135.8281504,48.14646804,1
1,48,G_6,P_7,88.63,187.1153552,0,2,115,135.8281504,49.28720483,1
1,49,G_6,P_2,97.43,179.1073956,0,2,128,135.8281504,41.27924526,1
1,50,G_6,P_1,98.69833333,150.4900027,0,2,130,135.8281504,12.66185229,1
1,51,G_6,P_1,98.69833333,171.4323135,0,2,130,135.8281504,33.60416312,1
1,52,G_6,P_1,98.69833333,211.1903046,0,2,130,135.8281504,73.36215427,1
1,53,G_6,P_1,98.69833333,220.7194593,0,2,130,135.8281504,82.89130897,1
1,54,G_6,P_1,98.69833333,220.186031,0,2,130,135.8281504,82.35788066,1
1,55,G_6,P_1,98.69833333,191.2281892,0,2,130,135.8281504,53.40003879,1
1,56,G_6,P_1,98.69833333,166.0772814,0,2,130,135.8281504,28.24913103,1
1,57,G_6,P_1,98.69833333,162.3631483,0,2,130,135.8281504,24.53499789,1
1,58,G_6,P_2,97.43,159.4031679,0,2,128,135.8281504,21.57501755,1
1,59,G_6,P_2,97.43,168.6467979,0,2,128,135.8281504,30.81864752,1
1,60,G_6,P_7,88.63,181.5143504,0,2,115,135.8281504,43.6862,1
1,61,G_6,P_7,88.63,175.5059661,0,2,115,135.8281504,37.67781574,1
1,62,G_6,P_7,88.63,172.7140508,0,2,115,135.8281504,34.88590047,1
1,63,G_6,P_7,88.63,156.2930195,0,2,115,135.8281504,18.46486909,1
1,64,G_6,G_13,51.345,153.9132265,0,0,100,135.8281504,18.08507613,0
1,65,G_6,G_12,49.22666667,146.080558,0,0,100,135.8281504,10.25240764,0
1,66,G_6,G_11,48.335,146.5435196,0,0,100,135.8281504,10.71536924,0
1,67,G_6,G_10,47.07333333,141.1045706,0,0,100,135.8281504,5.276420178,0
1,68,G_6,G_9,45.96166667,147.9882801,0,0,100,135.8281504,12.16012969,0
1,69,G_6,G_9,45.96166667,169.5897514,0,0,100,135.8281504,33.76160098,0
1,70,G_6,G_4,41.25,180.1233305,0,0,100,135.8281504,44.29518015,0
1,71,G_6,G_4,41.25,194.771954,0,0,100,135.8281504,58.94380364,0
1,72,G_6,P_14,77.19666667,207.4693182,0,2,118,135.8281504,69.64116786,1
1,73,G_6,P_14,77.19666667,174.5246625,0,2,118,135.8281504,36.69651216,1
1,74,G_6,G_10,47.07333333,161.2949846,0,0,100,135.8281504,25.46683418,0
1,75,G_6,G_10,47.07333333,156.3266697,0,0,100,135.8281504,20.49851932,0
1,76,G_6,G_12,49.22666667,139.9333798,0,0,100,135.8281504,4.105229404,0
1,77,G_6,G_13,51.345,145.7248639,0,0,100,135.8281504,9.896713519,0
1,78,G_6,P_7,88.63,166.7649736,0,2,115,135.8281504,28.93682324,1
1,79,G_6,P_3,96.025,158.9228494,0,2,125,135.8281504,21.09469897,1
1,80,G_6,P_3,96.025,138.9307889,0,2,125,135.8281504,1.102638507,1
1,81,G_6,P_1,98.69833333,181.2312737,0,2,130,135.8281504,43.40312334,1
1,82,G_6,P_1,98.69833333,222.5987123,0,2,130,135.8281504,84.77056197,1
1,83,G_6,P_1,98.69833333,279.5938181,0,2,130,135.8281504,141.7656677,1
1,84,G_6,P_1,98.69833333,269.9287876,0,2,130,135.8281504,132.1006372,1
1,85,G_6,P_1,98.69833333,221.3732515,0,2,130,135.8281504,83.54510114,1
1,86,G_6,P_1,98.69833333,215.2392422,0,2,130,135.8281504,77.41109181,1
1,87,G_6,P_1,98.69833333,185.6301769,0,2,130,135.8281504,47.80202657,1
1,88,G_6,P_3,96.025,160.6080363,0,2,125,135.8281504,22.77988589,1
1,89,G_6,P_4,94.275,146.3351064,0,2,122,135.8281504,8.506955976,1
1,90,G_6,P_4,94.275,146.4528992,0,2,122,135.8281504,8.624748873,1
1,91,G_6,P_6,90.09666667,154.0729561,0,2,200,135.8281504,16.24480568,1
1,92,G_6,P_7,88.63,153.8429511,0,2,115,135.8281504,16.01480074,1
1,93,G_6,P_8,87.035,154.5858073,0,2,115,135.8281504,16.75765692,1
1,94,G_6,G_14,53.99,145.0902266,0,0,100,135.8281504,9.26207623,0
1,95,G_6,G_13,51.345,142.6127542,0,0,100,135.8281504,6.784603839,0
1,96,G_6,P_11,70.74333333,149.4897127,0,2,110,135.8281504,11.66156234,1
1,97,G_6,G_12,49.22666667,143.2635736,0,0,100,135.8281504,7.435423225,0
1,98,G_6,G_12,49.22666667,144.1081344,0,0,100,135.8281504,8.279984073,0
1,99,G_6,G_10,47.07333333,143.3944722,0,0,100,135.8281504,7.566321856,0
1,100,G_6,G_10,47.07333333,152.5188545,0,0,100,135.8281504,16.69070416,0
